episod_to,ttl_reward
1,-3.85946450047
2,-3.95389240597
3,-3.86294597354
4,-9.11873238124
5,1.65628782845
6,-6.07495642563
7,-1.20235060358
8,3.6709387928
9,-7.01339867379
10,-1.71403083255
11,-6.21319682393
12,-7.85755803773
13,-3.61491465055
14,-7.83514780412
15,-14.1638843081
16,9.40048595837
17,9.43909793576
18,-8.07298775327
19,5.02409744535
20,3.41203306642
21,4.83749528177
22,2.59735583611
23,-5.35726952177
24,-16.2462401694
25,-37.9796912273
26,-10.5143010899
27,1.69926177353
28,6.45696101445
29,11.3784897305
30,8.39005571483
31,4.39063986262
32,5.13684977379
33,5.82039648809
34,-0.0653142252155
35,0.889788421653
36,-0.236401721802
37,-0.794860633525
38,11.9411454157
39,3.57384793617
40,8.60071513926
41,5.51740617002
42,5.80656010186
43,7.59258079428
44,11.6239937336
45,-0.116376345232
46,-9.92741587173
47,2.95939015199
48,4.42614845274
49,4.33791869031
50,8.39484172872
51,3.44876973344
52,1.51241979042
53,-0.216110453682
54,3.26815399536
55,3.51679334762
56,3.81836375081
57,4.73724260776
58,7.56836565567
59,8.92476607698
60,3.26671718737
61,-5.16833222151
62,-0.757232913393
63,7.7904519553
64,-7.43672195874
65,-8.94254693242
66,4.64620291203
67,4.14873277119
68,-62.3964977736
69,-25.8799478289
70,-35.5225137233
71,-3.81839302229
72,-7.58033835269
73,-6.85423913735
74,-12.6750436454
75,-15.6841052427
76,-15.6309436841
77,21.4598958746
78,48.1843490048
79,40.5672922312
80,-24.6691238473
81,3.86434658964
82,-9.54200227949
83,-15.8785486437
84,31.6456611136
85,-28.208815094
86,-6.29849438857
87,-8.34096513906
88,-16.0171365581
89,-7.19154154264
90,-44.3029085883
91,-76.040273299
92,-51.9331214314
93,-74.8998745599
94,-63.8289726803
95,-124.632089758
96,-8.78678558093
97,-7.01526883923
98,4.7486450623
99,-0.308809333845
100,0.0706264791818
101,6.64126011561
102,-10.2804853362
103,1.06479040163
104,-8.06317087265
105,3.86742035327
106,18.9941880891
107,5.58676038373
108,-5.53568487071
109,13.4882005273
110,20.7187739408
111,-70.1275734637
112,-78.3778224137
113,17.2069329648
114,25.2468498916
115,19.8072430786
116,20.6607853834
117,15.7677752953
118,18.5887843448
119,15.5079137813
120,18.6236811374
121,16.2942909453
122,20.0113591277
123,19.6009306751
124,20.7445205668
125,21.9279315812
126,20.2373411494
127,18.0465956665
128,21.59119262
129,20.2085364736
130,20.3202855123
131,20.2617984379
132,-4.84266330209
133,-0.0709300575517
134,12.3543420169
135,17.3938530905
136,19.2839213822
137,7.4814655902
138,9.50410055118
139,20.3258341833
140,17.0783127442
141,11.5801671957
142,-122.978835265
143,-167.148937428
144,-171.477807793
145,-172.428061777
146,-172.38701047
147,-172.658796095
148,-173.202068679
149,-1.3463012388
150,-6.72733119326
151,7.76450003871
152,6.76797690853
153,9.82083167299
154,11.301415377
155,14.8592703829
156,-179.348928476
157,-172.696149817
158,-171.907820716
159,-171.210455006
160,-172.115365244
161,-171.663852595
162,-171.394124799
163,-171.920854793
164,-171.177902929
165,-171.545800893
166,-172.254280274
167,-171.373580208
168,-171.679154837
169,-171.422244083
170,-171.454145318
171,-0.384644481219
172,18.2065346794
173,21.6600891275
174,20.1966499653
175,25.3903602331
176,20.7664004966
177,21.2851350171
178,20.7111428073
179,20.7422692461
180,20.6512270042
181,20.8288468648
182,20.5337873197
183,20.8017506138
184,20.919187201
185,20.5154344646
186,20.7084252947
187,20.7996755921
188,20.6089354724
189,20.8366605622
190,20.5387979019
191,20.8340214896
192,20.7284268964
193,20.7883329866
194,20.7386678355
195,20.7324833936
196,20.7236122676
197,20.6207277534
198,20.8086699722
199,20.8041566274
