time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.93921455487e-08,2.63041134177e-07,10.0039317299,6.282687721,6.2830211335,0.0,1.10330326854e-05,-6.74054910964e-06,0.131050862451,-0.0352105563313,-0.00886379864705,0.0,446.15779449958944,445.4337048771626,448.9197372618323,446.05404790600215
0.12000000000000001,5.74557747205e-06,-1.83566269032e-05,10.014700694,6.28015061035,6.28195577788,0.0,0.0002450394841,-0.000843562953814,0.2278992321,-0.0627481452435,-0.0488844026547,0.0,437.92877199519955,434.5875511968049,436.7424738363727,434.43878879477273
0.18,5.12903546974e-05,-0.000133251279075,10.0281436261,6.27705710898,6.27909314483,0.0,0.00152242748403,-0.00327601086659,0.220198352961,-0.0354127819674,-0.0454612710242,0.0,401.8570627943939,402.1655353128729,399.42282123963156,401.9053032873947
0.23999999999999996,0.000251217942911,-0.000483491827664,10.047370822,6.27543724667,6.27658513635,0.0,0.00544658405954,-0.00861270523845,0.420652272097,-0.0139931304418,-0.035334384595,0.0,467.5033616448148,468.2907572815087,466.81074410958564,468.4787165828115
0.3,0.000734146839616,-0.00117806578738,10.077471366,6.27476681251,6.27532509429,0.0,0.0108280184614,-0.0146225791576,0.582628073037,-0.00605994750751,-0.0017405764334,0.0,455.77442056428293,458.45090248854297,455.2955687812343,455.92985818959295
0.36000000000000004,0.00158487320403,-0.00227175734688,10.120276877,6.27450441631,6.27488601797,0.0,0.0175582559195,-0.0218716612923,0.844065410625,-0.00119680853193,-0.0218392973327,0.0,486.69395233538546,485.1876439593661,485.5419091661277,485.906647199745
0.4200000000000001,0.00283048325994,-0.00377957486507,10.1757420958,6.27411029696,6.27331008224,0.0,0.0241189827283,-0.0284102775662,1.00464586593,-0.020378988106,-0.0370429815581,0.0,457.210066326934,455.9971481269528,457.10961535873696,455.5787227215621
0.48000000000000015,0.00446544537218,-0.00565403595325,10.2366130734,6.2727458685,6.27087200362,0.0,0.0305884894799,-0.0341877535615,1.02436562552,-0.0279391605133,-0.0490089509506,0.0,412.40394907133293,411.3447389402868,411.8651289935234,411.1959246357812
0.5400000000000001,0.00657469845765,-0.00793466400705,10.3017420346,6.27081551511,6.26817936483,0.0,0.0400138371048,-0.0420199591432,1.14647860985,-0.0423737353581,-0.0376849866848,0.0,444.6096464618264,445.5351485745172,445.44001676114317,444.2577443678915
0.6000000000000002,0.00931190159679,-0.0107358413656,10.3746778718,6.26833611173,6.26590744724,0.0,0.0514679313111,-0.0516209284202,1.28456284033,-0.0393018973068,-0.0382282772773,0.0,450.0293871030666,449.9847463515903,450.2455005755476,450.49304503013616
0.6600000000000003,0.012808236445,-0.0141855917477,10.4571535954,6.26604663208,6.26362504869,0.0,0.0653331207369,-0.0636318584447,1.46440532576,-0.0359636026106,-0.0376660985977,0.0,463.268019936929,463.3115842720344,463.04242770316216,463.30430157817943
0.7200000000000003,0.0171547967068,-0.0183781851985,10.5487260032,6.26342968775,6.26168034137,0.0,0.0797688056524,-0.0763617728637,1.58783500357,-0.0668771360123,-0.0235626245572,0.0,447.01663400694486,448.16390187420757,446.60641609719767,444.0767273803986
0.7800000000000004,0.0224410575997,-0.0234304996072,10.649310058,6.25976310936,6.26024377688,0.0,0.0965956605267,-0.0924765080183,1.7646965398,-0.0515396327127,-0.0247139310973,0.0,464.0544409601865,463.9640232270487,461.76042963020365,462.966081370585
0.8400000000000004,0.0286935799074,-0.0294507298243,10.7572052449,6.25716327409,6.2583893673,0.0,0.111976825801,-0.108468204995,1.83169256394,-0.0305782754893,-0.047687963393,0.0,430.389952196828,428.4407463967209,428.7328650910503,430.50877564788334
0.9000000000000005,0.0360435318964,-0.0366161566254,10.8743692062,6.2552150763,6.25519257554,0.0,0.133379308979,-0.130600790621,2.07334824675,-0.0365497266707,-0.0678440153852,0.0,482.93376873653006,481.4093929550897,484.17715679560376,483.7274127543643
0.9600000000000005,0.044550658031,-0.0449503211683,10.998651107,6.25289252509,6.25089650469,0.0,0.150552769517,-0.147400093796,2.06937009051,-0.0434202920761,-0.0804311518598,0.0,407.79933216084646,406.6689282439121,407.3302835821316,406.7145193860028
1.0200000000000005,0.0542425722433,-0.0544045262866,11.1250045952,6.25113465679,6.24623642152,0.0,0.17297056866,-0.167940594495,2.142253041,-0.0102346146528,-0.0726495906441,0.0,432.41155952572876,433.0615566702003,431.1961479516177,433.98992430105034
1.0800000000000005,0.0654721032899,-0.0652058289684,11.2584181222,6.25102457667,6.24192733946,0.0,0.201816743516,-0.192128814005,2.30452702436,0.0111538305798,-0.0702055880344,0.0,459.46074594362403,459.6506691355941,461.3802705698567,463.0658019642894
1.1400000000000006,0.0785205185693,-0.0774497764658,11.4013664606,6.25122910924,6.23775549435,0.0,0.233578151514,-0.215935381633,2.46007232528,-0.0203559071658,-0.0682148037838,0.0,458.5079678519308,458.66258340186454,461.7764059646944,459.2841557978588
1.2000000000000006,0.0936997685279,-0.0912179556461,11.556511513,6.24997057033,6.2337487114,0.0,0.272873056615,-0.243139801221,2.71083239789,-0.022244751766,-0.064055109402,0.0,488.3349236003062,488.64220941463367,488.1982180155529,488.05731774447844
1.2600000000000007,0.111081852587,-0.106479898947,11.7216244934,6.24936467016,6.22961791547,0.0,0.306912226237,-0.26567448233,2.79270598254,0.00704502569608,-0.0807449497974,0.0,439.296161675158,437.9062625318028,437.54865229830614,439.9803619264887
